80 40
1:4, 3:4, 1:4, 5:4, 4:4, 4:4, 5:4, 3:4, 5:4, 3:4, 1:4, 4:4, 3:4, 4:4, 1:4, 4:4, 1:4, 5:4, 1:4, 5:4,
4:4, 5:4, 5:4, 3:4, 5:4, 5:4, 1:4, 3:4, 4:4, 5:4, 5:4, 5:4, 4:4, 3:4, 3:4, 5:4, 1:4, 4:4, 4:4, 3:4,
3:4, 1:4, 5:4, 4:4, 5:4, 3:4, 4:4, 4:4, 5:4, 5:4, 4:4, 3:4, 1:4, 5:4, 4:4, 4:4, 3:4, 5:4, 1:4, 3:4,
1:4, 1:4, 1:4, 1:4, 4:4, 1:4, 3:4, 5:4, 5:4, 1:4, 1:4, 1:4, 4:4, 3:4, 4:4, 1:4, 3:4, 5:4, 1:4, 3:4,
5:4, 1:4, 4:4, 3:4, 4:4, 1:4, 4:4, 3:4, 4:4, 4:4, 1:4, 5:4, 3:4, 5:4, 4:4, 4:4, 3:4, 4:4, 1:4, 1:4,
5:4, 4:4, 4:4, 1:4, 1:4, 5:4, 5:4, 1:4, 4:4, 3:4, 3:4, 4:4, 4:4, 1:4, 3:4, 3:4, 1:4, 3:4, 3:4, 1:4,
5:4, 3:4, 4:4, 4:4, 5:4, 5:4, 3:4, 4:4, 3:4, 1:4, 3:4, 1:4, 1:4, 4:4, 4:4, 1:4, 3:4, 3:4, 5:4, 3:4,
1:4, 1:4, 3:4, 4:4, 1:4, 1:4, 3:4, 4:4, 4:4, 1:4, 3:4, 1:4, 4:4, 1:4, 1:4, 1:4, 3:4, 1:4, 3:4, 5:4,
5:4, 1:4, 5:4, 4:4, 3:4, 4:4, 5:4, 3:4, 5:4, 4:4, 3:4, 5:4, 5:4, 5:4, 4:4, 4:4, 1:4, 3:4, 5:4, 5:4,
1:4, 3:4, 4:4, 3:4, 1:4, 4:4, 3:4, 5:4, 5:4, 5:4, 5:4, 4:4, 3:4, 3:4, 5:4, 1:4, 1:4, 5:4, 4:4, 4:4,
4:4, 5:4, 4:4, 3:4, 5:4, 4:4, 5:4, 4:4, 3:4, 4:4, 1:4, 3:4, 4:4, 3:4, 3:4, 3:4, 3:4, 3:4, 1:4, 5:4,
4:4, 1:4, 4:4, 4:4, 1:4, 3:4, 5:4, 5:4, 1:4, 3:4, 3:4, 3:4, 4:4, 1:4, 5:4, 4:4, 4:4, 4:4, 5:4, 4:4,
1:4, 5:4, 5:4, 5:4, 1:4, 1:4, 1:4, 3:4, 3:4, 1:4, 4:4, 1:4, 1:4, 4:4, 5:4, 4:4, 4:4, 5:4, 1:4, 1:4,
3:4, 5:4, 5:4, 1:4, 4:4, 3:4, 4:4, 5:4, 5:4, 5:4, 3:4, 1:4, 1:4, 1:4, 5:4, 5:4, 4:4, 3:4, 1:4, 5:4,
3:4, 3:4, 4:4, 5:4, 5:4, 5:4, 1:4, 4:4, 3:4, 1:4, 4:4, 3:4, 5:4, 3:4, 1:4, 1:4, 4:4, 3:4, 1:4, 3:4,
5:4, 3:4, 4:4, 5:4, 5:4, 1:4, 1:4, 5:4, 4:4, 4:4, 3:4, 1:4, 3:4, 5:4, 3:4, 4:4, 5:4, 4:4, 4:4, 1:4,
5:4, 1:4, 4:4, 1:4, 3:4, 4:4, 1:4, 3:4, 4:4, 3:4, 3:4, 5:4, 5:4, 5:4, 4:4, 5:4, 1:4, 5:4, 1:4, 4:4,
3:4, 4:4, 5:4, 1:4, 1:4, 4:4, 4:4, 3:4, 1:4, 3:4, 1:4, 5:4, 1:4, 1:4, 3:4, 4:4, 4:4, 3:4, 3:4, 5:4,
1:4, 5:4, 1:4, 4:4, 3:4, 3:4, 3:4, 1:4, 4:4, 3:4, 1:4, 4:4, 5:4, 4:4, 3:4, 5:4, 3:4, 4:4, 1:4, 5:4,
3:4, 1:4, 3:4, 1:4, 1:4, 3:4, 3:4, 3:4, 1:4, 4:4, 1:4, 4:4, 4:4, 5:4, 4:4, 5:4, 3:4, 5:4, 5:4, 5:4,
4:4, 5:4, 5:4, 5:4, 4:4, 5:4, 3:4, 4:4, 5:4, 3:4, 1:4, 5:4, 4:4, 1:4, 3:4, 5:4, 3:4, 5:4, 3:4, 1:4,
1:4, 5:4, 1:4, 5:4, 1:4, 4:4, 1:4, 5:4, 4:4, 4:4, 3:4, 1:4, 5:4, 5:4, 5:4, 3:4, 3:4, 5:4, 3:4, 5:4,
5:4, 4:4, 1:4, 4:4, 3:4, 5:4, 3:4, 1:4, 1:4, 1:4, 4:4, 3:4, 1:4, 3:4, 1:4, 5:4, 1:4, 1:4, 4:4, 3:4,
1:4, 3:4, 1:4, 3:4, 3:4, 3:4, 3:4, 1:4, 5:4, 4:4, 4:4, 4:4, 1:4, 3:4, 3:4, 3:4, 1:4, 4:4, 5:4, 1:4,
0:1, 0:1, 0:1, 0:1, 0:1, 0:1, 0:1, 0:1, 0:1, 0:1, 0:1, 0:1, 0:1, 0:1, 0:1, 0:1, 0:1, 0:1, 0:1, 0:1,
0:1, 0:1, 0:1, 1:4, 4:4, 3:4, 3:4, 4:4, 5:4, 4:4, 4:4, 1:4, 4:4, 1:4, 4:4, 4:4, 5:4, 4:4, 1:4, 5:4,
4:4, 4:4, 3:4, 3:4, 1:4, 1:4, 5:4, 4:4, 5:4, 1:4, 5:4, 3:4, 4:4, 3:4, 5:4, 1:4, 5:4, 1:4, 5:4, 1:4,
